STT,Email,Dự đoán,Nhãn số
1,Happy birthday! Hope you have a fantastic day.,Không spam,0
2,"Urgent! You have won a 1 week FREE membership in our £100,000 Prize Jackpot. Call 09061701461 now to claim.",Spam,1
3,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward! To claim call 09061701461.,Spam,1
4,Call me when you are free this evening.,Không spam,0
5,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question.,Spam,1
6,Don't forget to bring your notebook for the meeting tomorrow.,Không spam,0
7,See you later. Have a great day!,Không spam,0
8,Ok lar... Joking wif u oni...,Không spam,0
9,Congratulations! You have won a guaranteed cash prize of £5000. Call 09050000327 now.,Spam,1
10,How's the new job? Is everything going well?,Không spam,0
